schoolname,5年內設備數量,5年以上設備數量,學校小計,lat,lon
湖山國小,260,72,332,25.150059,121.535797
華江高中,271,277,548,25.028525,121.496168
華江國小,854,95,949,25.0340691,121.4911815
逸仙國小,171,118,289,25.138367,121.505155
陽明山國小,333,49,382,25.1193324,121.5528168
陽明高中,124,277,401,25.09177,121.51711
新民國中,228,104,332,25.138878,121.506551
新生國小,251,48,299,25.0298199,121.53362
新和國小,226,43,269,25.0259828,121.5033372
新湖國小,309,110,419,25.068804,121.5887456
新興國中,93,184,277,25.062063,121.525788
溪口國小,146,57,203,24.99413,121.5387574
義方國小,1131,140,1271,25.141925,121.509816
萬大國小,256,93,349,25.0229842,121.4993232
萬芳高中,333,262,595,25.000558,121.558781
萬芳國小,16,121,137,25.0013132,121.5677338
萬福國小,324,138,462,25.0048928,121.5367124
萬興國小,446,162,608,24.9904294,121.5765927
葫蘆國小,432,12,444,25.0837421,121.5069631
實踐國小,430,10,440,24.9837272,121.5576388
碧湖國小,232,207,439,25.0853115,121.5911103
福安國中,201,78,279,25.1027778,121.487941
福林國小,275,90,365,25.0986884,121.5295965
福星國小,315,84,399,25.0467829,121.5089051
福德國小,415,174,589,25.0388994,121.5865035
臺北特殊教育學校,177,271,448,25.116551,121.53627
銘傳國小,279,74,353,25.0261583,121.5427093
劍潭國小,134,58,192,25.0799466,121.5229841
潭美國小,448,56,504,25.0603451,121.5905901
蓬萊國小,201,98,299,25.0563873,121.5157097
興華國小,224,75,299,24.9988344,121.5587218
興隆國小,369,139,508,25.0024355,121.5518875
興雅國小,525,72,597,25.046751,121.5700216
興雅國中,181,0,181,25.03651,121.57225
興福國中,300,68,368,25.004899,121.549743
興德國小,321,40,361,25.0016222,121.5507703
螢橋國中,150,127,277,25.01934,121.52628
龍山國小,345,74,419,25.035889,121.496113
龍山國中,509,228,737,25.036064,121.504598
龍安國小,438,108,546,25.0239215,121.5348854
龍門國中,241,271,512,25.02488,121.53796
濱江國小,112,85,197,25.0780014,121.5616369
濱江國中,217,44,261,25.079598,121.560716
舊莊國小,355,102,457,25.0402449,121.619539
雙園國中,162,161,323,25.027628,121.492722
雙溪國小,286,8,294,25.106052,121.563943
雙蓮國小,162,33,195,25.060161,121.5166898
懷生國小,211,29,240,25.0452404,121.5417844
關渡國中,627,89,716,25.119895,121.46715
麗山高中,1163,335,1498,25.084112,121.577928
麗山國小,393,80,473,25.0836791,121.5724649
麗山國中,527,173,700,25.08158,121.57568
麗湖國小,439,168,607,25.072992,121.601146
蘭雅國小,266,50,316,25.1084096,121.5231371
蘭雅國中,432,264,696,25.11052,121.53088
